cpu_percent,pid,name,memory_usage
0.0,1,systemd,13.35
0.0,2,kthreadd,0.0
0.0,3,pool_workqueue_release,0.0
0.0,4,kworker/R-rcu_g,0.0
0.0,5,kworker/R-rcu_p,0.0
0.0,6,kworker/R-slub_,0.0
0.0,7,kworker/R-netns,0.0
0.0,9,kworker/0:0H-events_highpri,0.0
0.0,12,kworker/R-mm_pe,0.0
0.0,13,rcu_tasks_kthread,0.0
0.0,14,rcu_tasks_rude_kthread,0.0
0.0,15,rcu_tasks_trace_kthread,0.0
0.0,16,ksoftirqd/0,0.0
0.0,17,rcu_preempt,0.0
0.0,18,migration/0,0.0
0.0,19,idle_inject/0,0.0
0.0,20,cpuhp/0,0.0
0.0,21,cpuhp/1,0.0
0.0,22,idle_inject/1,0.0
0.0,23,migration/1,0.0
0.0,24,ksoftirqd/1,0.0
0.0,26,kworker/1:0H-events_highpri,0.0
0.0,27,cpuhp/2,0.0
0.0,28,idle_inject/2,0.0
0.0,29,migration/2,0.0
0.0,30,ksoftirqd/2,0.0
0.0,32,kworker/2:0H-events_highpri,0.0
0.0,33,cpuhp/3,0.0
0.0,34,idle_inject/3,0.0
0.0,35,migration/3,0.0
0.0,36,ksoftirqd/3,0.0
0.0,38,kworker/3:0H-events_highpri,0.0
0.0,39,cpuhp/4,0.0
0.0,40,idle_inject/4,0.0
0.0,41,migration/4,0.0
0.0,42,ksoftirqd/4,0.0
0.0,44,kworker/4:0H-events_highpri,0.0
0.0,45,cpuhp/5,0.0
0.0,46,idle_inject/5,0.0
0.0,47,migration/5,0.0
0.0,48,ksoftirqd/5,0.0
0.0,50,kworker/5:0H-events_highpri,0.0
0.0,51,cpuhp/6,0.0
0.0,52,idle_inject/6,0.0
0.0,53,migration/6,0.0
0.0,54,ksoftirqd/6,0.0
0.0,56,kworker/6:0H-events_highpri,0.0
0.0,57,cpuhp/7,0.0
0.0,58,idle_inject/7,0.0
0.0,59,migration/7,0.0
0.0,60,ksoftirqd/7,0.0
0.0,62,kworker/7:0H-events_highpri,0.0
0.0,63,kdevtmpfs,0.0
0.0,64,kworker/R-inet_,0.0
0.0,65,kauditd,0.0
0.0,66,kworker/u16:1-events_power_efficient,0.0
0.0,68,khungtaskd,0.0
0.0,69,oom_reaper,0.0
0.0,71,kworker/R-write,0.0
0.0,72,kcompactd0,0.0
0.0,73,ksmd,0.0
0.0,75,khugepaged,0.0
0.0,76,kworker/R-kinte,0.0
0.0,77,kworker/R-kbloc,0.0
0.0,78,kworker/R-blkcg,0.0
0.0,79,irq/9-acpi,0.0
0.0,82,kworker/R-tpm_d,0.0
0.0,83,kworker/R-ata_s,0.0
0.0,84,kworker/R-md,0.0
0.0,85,kworker/R-md_bi,0.0
0.0,86,kworker/R-edac-,0.0
0.0,87,kworker/R-devfr,0.0
0.0,88,watchdogd,0.0
0.0,89,kworker/0:2-events,0.0
0.0,90,kworker/2:1H-events_highpri,0.0
0.0,91,kswapd0,0.0
0.0,92,ecryptfs-kthread,0.0
0.0,93,kworker/R-kthro,0.0
0.0,95,kworker/5:1-inet_frag_wq,0.0
0.0,97,kworker/R-acpi_,0.0
0.0,99,hwrng,0.0
0.0,100,kworker/R-mld,0.0
0.0,101,kworker/R-ipv6_,0.0
0.0,108,kworker/R-kstrp,0.0
0.0,124,kworker/R-charg,0.0
0.0,144,kworker/7:1H-events_highpri,0.0
0.0,147,kworker/1:1H-kblockd,0.0
0.0,161,kworker/5:1H-events_highpri,0.0
0.0,163,kworker/3:1H-events_highpri,0.0
0.0,164,kworker/6:1H-events_highpri,0.0
0.0,165,kworker/0:1H-kblockd,0.0
0.0,166,kworker/4:1H-events_highpri,0.0
0.0,299,scsi_eh_0,0.0
0.0,300,kworker/R-scsi_,0.0
0.0,301,scsi_eh_1,0.0
0.0,302,kworker/R-scsi_,0.0
0.0,306,kworker/R-nvme-,0.0
0.0,307,kworker/R-nvme-,0.0
0.0,308,kworker/R-nvme-,0.0
0.0,309,kworker/R-nvme-,0.0
0.0,310,irq/35-DELL0AB1:00,0.0
0.0,313,kworker/6:2-i915-unordered,0.0
0.0,335,jbd2/nvme0n1p7-8,0.0
0.0,336,kworker/R-ext4-,0.0
0.0,348,kworker/5:2-events,0.0
0.0,380,systemd-journald,22.1
0.0,404,kworker/1:2-events,0.0
0.0,450,systemd-udevd,6.88
0.0,540,irq/142-mei_me,0.0
0.0,568,kworker/4:3-mm_percpu_wq,0.0
0.0,569,kworker/R-cfg80,0.0
0.0,681,kworker/R-crypt,0.0
0.0,702,systemd-oomd,6.62
0.0,705,kworker/R-ttm,0.0
0.0,706,systemd-resolved,14.61
0.0,711,systemd-timesyncd,7.0
0.0,714,kworker/u17:2-rtw_tx_wq,0.0
0.0,720,card1-crtc0,0.0
0.0,721,card1-crtc1,0.0
0.0,722,card1-crtc2,0.0
0.0,741,irq/144-rtw88_pci,0.0
0.0,1304,acpid,1.88
0.0,1311,avahi-daemon,3.75
0.0,1315,bluetoothd,4.88
0.0,1318,dbus-daemon,6.5
0.0,1322,NetworkManager,18.93
0.0,1333,irqbalance,3.75
0.0,1337,networkd-dispat,20.88
0.0,1340,polkitd,10.32
0.0,1341,power-profiles-daemon,7.47
0.0,1343,rsyslogd,6.0
0.0,1350,snapd,39.0
0.0,1356,accounts-daemon,8.2
0.0,1358,cron,2.88
0.0,1359,switcheroo-control,6.5
0.0,1360,systemd-logind,7.79
0.0,1361,thermald,11.0
0.0,1364,udisksd,13.55
0.0,1368,wpa_supplicant,10.5
0.0,1389,atd,2.38
0.0,1395,avahi-daemon,1.25
0.0,1415,ModemManager,11.68
0.0,1432,java,881.62
0.0,1451,containerd,46.48
0.0,1472,sshd,8.75
0.0,1474,named,16.0
0.0,1512,unattended-upgr,22.75
0.0,1537,gdm3,8.38
0.0,1562,upowerd,8.5
0.0,1610,cupsd,13.75
0.0,1701,rtkit-daemon,3.25
0.0,1759,apache2,4.62
0.0,1762,apache2,4.62
0.0,1763,apache2,4.62
0.0,2226,kworker/R-iprt-,0.0
0.0,2230,iprt-VBoxTscThread,0.0
0.0,2444,packagekitd,42.62
0.0,2631,colord,12.98
0.0,2825,cups-browsed,11.0
0.0,2831,dockerd,76.48
0.0,2839,mongod,182.09
0.0,2869,kerneloops,2.16
0.0,2871,kerneloops,2.01
0.0,4070,master,4.45
0.0,4071,pickup,7.0
0.0,4072,qmgr,6.75
0.0,4116,runsvdir,1.12
0.0,4118,runsv,1.25
0.0,4119,runsv,1.25
0.0,4120,runsv,1.12
0.0,4121,runsv,1.25
0.0,4122,runsv,1.0
0.0,4123,runsv,1.25
0.0,4124,runsv,1.12
0.0,4125,runsv,1.25
0.0,4126,runsv,1.25
0.0,4127,runsv,1.25
0.0,4128,runsv,1.25
0.0,4129,runsv,1.25
0.0,4130,runsv,1.25
0.0,4131,runsv,1.25
0.0,4132,runsv,1.25
0.0,4133,svlogd,1.25
0.0,4134,svlogd,1.25
0.0,4135,svlogd,1.25
0.0,4136,svlogd,1.25
0.0,4137,svlogd,1.0
0.0,4138,redis_exporter,16.45
0.0,4139,prometheus,290.73
0.0,4140,svlogd,1.12
0.0,4141,svlogd,1.25
0.0,4142,svlogd,1.25
0.0,4143,svlogd,1.25
0.0,4144,gitlab-exporter,62.36
0.0,4145,node_exporter,19.95
0.0,4146,svlogd,1.0
0.0,4147,svlogd,1.25
0.0,4148,ruby,65.75
0.0,4149,svlogd,1.12
0.0,4150,svlogd,1.25
0.0,4151,gitlab-kas,60.55
0.0,4153,redis-server,13.56
0.0,4154,svlogd,1.12
0.0,4155,postgres,82.12
0.0,4156,nginx,10.55
0.0,4157,gitlab-workhorse,50.75
0.0,4158,ruby,1125.4
0.0,4159,alertmanager,34.73
0.0,4160,svlogd,1.25
0.0,4162,gitaly-wrapper,10.5
0.0,4166,postgres_exporter,23.34
0.0,4214,nginx,8.94
0.0,4215,nginx,8.57
0.0,4216,nginx,9.07
0.0,4217,nginx,8.69
0.0,4218,nginx,8.69
0.0,4219,nginx,8.44
0.0,4220,nginx,8.44
0.0,4221,nginx,8.69
0.0,4222,nginx,6.07
0.0,4225,gitaly,312.09
0.0,4259,postgres,22.05
0.0,4260,postgres,20.55
0.0,4261,postgres,5.93
0.0,4262,postgres,8.43
0.0,4263,postgres,6.05
0.0,4264,postgres,7.93
0.0,4272,gdm-session-worker,11.2
0.0,4298,ruby,1190.34
0.0,4300,ruby,84.21
0.0,4316,systemd,10.38
0.0,4317,(sd-pam),6.25
0.0,4324,pipewire,6.38
0.0,4325,pipewire-media-session,6.5
0.0,4326,pulseaudio,28.02
0.0,4343,gnome-keyring-daemon,7.65
0.0,4354,dbus-daemon,5.5
0.0,4355,xdg-document-portal,7.12
0.0,4358,xdg-permission-store,6.0
0.0,4365,fusermount3,1.88
0.0,4384,gdm-wayland-session,6.0
0.0,4387,gnome-session-binary,15.5
0.0,4428,gnome-session-ctl,5.5
0.0,4437,gvfsd,7.75
0.0,4443,gvfsd-fuse,6.25
0.0,4451,gnome-session-binary,17.38
0.0,4477,at-spi-bus-launcher,7.38
0.0,4484,dbus-daemon,4.38
0.0,4486,gnome-shell,284.95
0.0,4543,krfcommd,0.0
0.0,4551,gnome-shell-calendar-server,18.0
0.0,4557,evolution-source-registry,25.12
0.0,4563,goa-daemon,40.25
0.0,4564,dconf-service,5.75
0.0,4569,evolution-calendar-factory,30.38
0.0,4570,gvfs-udisks2-volume-monitor,10.88
0.0,4581,goa-identity-service,14.75
0.0,4588,gvfs-goa-volume-monitor,6.38
0.0,4600,gvfs-mtp-volume-monitor,6.5
0.0,4601,evolution-addressbook-factory,28.62
0.0,4605,gvfs-afc-volume-monitor,8.0
0.0,4612,gvfs-gphoto2-volume-monitor,6.88
0.0,4627,gvfsd-trash,8.62
0.0,4639,gjs,27.64
0.0,4641,at-spi2-registryd,7.12
0.0,4656,sh,1.62
0.0,4657,gsd-a11y-settings,6.5
0.0,4658,gsd-color,26.24
0.0,4660,gsd-datetime,16.12
0.0,4661,gsd-housekeeping,8.0
0.0,4662,gsd-keyboard,21.18
0.0,4663,gsd-media-keys,26.62
0.0,4664,ibus-daemon,11.71
0.0,4668,gsd-power,27.38
0.0,4670,gsd-print-notifications,11.25
0.0,4675,gsd-rfkill,6.5
0.0,4676,gsd-screensaver-proxy,6.25
0.0,4677,gsd-sharing,10.5
0.0,4681,gsd-smartcard,8.25
0.0,4687,gsd-sound,9.38
0.0,4689,gsd-wacom,21.88
0.0,4717,evolution-alarm-notify,65.89
0.0,4744,gsd-disk-utility-notify,7.88
0.0,4783,snap-store,173.96
0.0,4794,gsd-printer,14.62
0.0,4797,ibus-dconf,7.12
0.0,4800,ibus-extension-gtk3,28.0
0.0,4803,ibus-portal,7.25
0.0,4856,ibus-engine-simple,7.0
0.0,4879,xdg-desktop-portal,13.5
0.0,4882,tracker-miner-fs-3,34.48
0.0,4904,xdg-desktop-portal-gnome,29.07
0.0,4962,gjs,27.4
0.0,4995,snapd-desktop-integration,11.38
0.0,5064,snapd-desktop-integration,29.52
0.0,5066,xdg-desktop-portal-gtk,25.38
0.0,5147,gvfsd-metadata,6.38
0.0,5163,fwupd,90.56
0.0,5249,postgres,38.34
0.0,6095,code,200.71
0.0,6097,code,47.88
0.0,6098,code,48.12
0.0,6116,chrome_crashpad_handler,3.25
0.0,6119,Xwayland,104.62
0.0,6139,gsd-xsettings,79.9
0.0,6170,ibus-x11,24.68
0.0,6237,code,69.43
0.0,6262,code,339.57
0.0,6292,code,123.41
0.0,6320,code,113.26
0.0,6331,code,225.87
0.0,6349,code,110.44
0.0,6350,code,133.7
0.0,6401,postgres,79.94
0.0,6813,bash,5.5
0.0,7149,bash,5.38
0.0,7199,code,78.11
0.0,7293,code,337.7
0.0,7747,postgres,48.91
0.0,7753,postgres,45.63
0.0,7757,postgres,46.08
0.0,7759,postgres,44.68
0.0,7762,postgres,48.61
0.0,7765,postgres,48.89
0.0,7776,ruby,1194.18
0.0,7778,ruby,1198.48
0.0,7782,ruby,1210.44
0.0,7784,ruby,1209.99
0.0,13058,kworker/7:2-mm_percpu_wq,0.0
0.0,14162,kworker/2:1-mm_percpu_wq,0.0
0.0,16036,kworker/1:1-i915-unordered,0.0
0.0,16224,kworker/0:1-i915-unordered,0.0
0.0,16289,kworker/6:0-events,0.0
0.0,18453,postgres,20.68
0.0,18956,gjs,64.26
0.0,19059,chrome,428.23
0.0,19064,cat,1.88
0.0,19065,cat,1.88
0.0,19067,chrome_crashpad_handler,3.62
0.0,19069,chrome_crashpad_handler,3.12
0.0,19075,chrome,61.25
0.0,19076,chrome,61.75
0.0,19078,chrome,16.81
0.0,19124,chrome,198.45
0.0,19126,chrome,142.38
0.0,19135,chrome,61.05
0.0,19394,chrome,122.04
0.0,19430,chrome,116.68
0.0,19467,chrome,230.69
0.0,19479,chrome,122.22
0.0,19553,chrome,111.01
0.0,19624,chrome,112.65
0.0,19648,chrome,111.55
0.0,19662,chrome,109.4
0.0,19670,chrome,112.82
0.0,19678,chrome,118.16
0.0,19686,chrome,111.23
0.0,19729,chrome,106.34
0.0,19814,chrome,114.85
